Transaction_ID,Account_ID,Transaction_Date,Transaction_Amount,Merchant_ID,Merchant_Category,Transaction_Type,Is_Fraud
0,255,2011-05-05 15:00:00,822.1612524769349,446,fashion,Online,0
1,230,2014-06-11 05:00:00,968.9865435917045,677,online shopping,POS,0
2,165,2013-03-19 03:00:00,711.74571728843,980,supermarket,POS,0
3,286,2012-11-19 21:00:00,862.6667504900714,348,online shopping,POS,0
4,392,2019-08-22 08:00:00,361.0421827901723,301,automotive,POS,0
5,369,2020-11-28 06:00:00,37.935434821813054,609,health,Online,0
6,329,2018-11-24 16:00:00,645.151151973015,249,supermarket,ATM,0
7,266,2022-09-19 06:00:00,904.2061422774287,187,supermarket,ATM,0
8,199,2016-01-11 22:00:00,648.8263099140698,314,electronics,Online,0
9,82,2017-12-14 16:00:00,871.3034422172074,12,health,POS,0
10,401,2011-06-06 08:00:00,646.1520263679362,662,electronics,ATM,0
11,422,2018-10-28 08:00:00,812.629001309823,504,fashion,Online,0
12,312,2016-09-03 02:00:00,929.8836540274675,601,online shopping,Online,0
13,358,2021-01-23 18:00:00,555.8748979193701,102,fashion,ATM,0
14,453,2017-07-30 15:00:00,913.558256576472,698,health,POS,0
15,50,2019-12-13 20:00:00,93.68406913236072,152,supermarket,POS,0
16,166,2021-07-10 17:00:00,365.4024584411161,518,electronics,Online,0
17,201,2014-10-23 09:00:00,90.80675640767465,874,automotive,POS,0
18,16,2011-10-07 04:00:00,842.7882783440555,181,automotive,Online,0
19,238,2019-04-18 00:00:00,726.5709745933675,760,fashion,POS,0
20,437,2021-07-02 17:00:00,56.92608917710118,477,electronics,Online,0
21,41,2018-12-09 03:00:00,382.86483970643934,470,automotive,ATM,0
22,355,2017-10-17 07:00:00,442.650548350234,477,online shopping,ATM,0
23,239,2020-09-03 03:00:00,485.93455688295194,6,online shopping,ATM,0
24,484,2011-07-01 09:00:00,883.9575433898707,866,supermarket,Online,0
25,40,2016-01-01 08:00:00,481.9763441377931,378,automotive,ATM,0
26,12,2011-11-30 02:00:00,158.06659617396036,974,fashion,ATM,0
27,169,2018-07-30 14:00:00,911.8830798882518,280,automotive,Online,0
28,237,2015-07-29 08:00:00,718.3532351495572,250,online shopping,ATM,0
29,478,2013-03-17 10:00:00,660.4241281730338,536,electronics,ATM,0
30,29,2012-01-14 06:00:00,261.88210481611765,234,electronics,POS,0
31,266,2014-11-22 06:00:00,651.8375925597677,521,fashion,ATM,1
32,2,2018-05-29 15:00:00,131.28547183593298,924,electronics,ATM,0
33,309,2013-08-28 06:00:00,533.5762356216579,218,supermarket,ATM,0
34,495,2012-10-02 04:00:00,977.5466813536415,968,online shopping,Online,0
35,499,2011-11-09 22:00:00,973.8538156564977,113,automotive,ATM,0
36,328,2018-01-05 21:00:00,839.0919653724958,210,automotive,POS,0
37,192,2021-06-18 02:00:00,623.4720952241128,62,electronics,Online,0
38,436,2022-03-14 17:00:00,765.1514858991042,333,automotive,ATM,0
39,150,2016-03-03 01:00:00,681.6352416129307,889,fashion,POS,0
40,312,2010-12-14 01:00:00,81.3671826184712,832,online shopping,POS,0
41,197,2020-07-11 15:00:00,131.37443986883457,520,online shopping,POS,0
42,151,2020-10-19 04:00:00,880.3686716198289,574,electronics,POS,0
43,214,2015-10-17 06:00:00,244.02240761993454,428,health,ATM,0
44,261,2010-04-02 00:00:00,67.79605248721654,907,online shopping,Online,0
45,76,2015-01-14 23:00:00,539.9668435087079,218,online shopping,ATM,0
46,226,2014-07-24 08:00:00,879.8784191406484,440,electronics,ATM,0
47,310,2012-03-08 13:00:00,271.1351732001125,224,health,ATM,0
48,450,2013-09-25 17:00:00,168.0943415137317,822,supermarket,ATM,0
49,121,2013-01-23 13:00:00,207.0367190101805,40,health,Online,0
